,date,open,close,high,low,value,volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
46,2025-03-07,315.19,316.92,321.87,310.69,35131355149.59997,110871260.0,0.02084988489979605,312.15857142857146,312.85900000000004,-4.245740479896995,3.860087127460385,320.5791742549208,305.13882574507926,316.1419236176185,5.755489016978394
47,2025-03-10,316.98,317.57,320.63,316.37,12523199814.100004,39315360.0,0.06774554023105508,313.22428571428566,313.0375,-4.327738507752656,3.995784456281282,321.0290689125626,305.04593108743745,317.09397453920616,5.7575443861663
48,2025-03-11,317.7,319.69,321.98,315.57,20743337430.100018,64935150.0,0.06724918069641078,314.97428571428566,313.517,-4.2858135364582495,4.195160244101632,321.90732048820325,305.12667951179674,318.8246581797354,5.764218843460032
49,2025-03-12,319.99,318.39,320.9,315.8,13354955867.099998,41964450.0,-0.12813193612037116,316.8157142857143,313.943,-4.631980882797166,4.237700592986281,322.4184011859725,305.46759881402744,318.5348860599118,5.760131301609848
50,2025-03-13,318.39,316.37,320.5,312.5,24872186568.70003,78552090.0,-0.034507625567438666,316.81142857142856,313.7865,-4.775001050893309,4.076403568421351,321.9393071368427,305.6336928631573,317.09162868663725,5.753746552693649
51,2025-03-14,316.0,320.51,321.1,314.12,16479988152.40002,51762530.0,0.094429520153733,317.80428571428575,314.1645,-4.175500236764947,4.336942259000191,322.83838451800034,305.4906154819996,319.3705428955457,5.766788572232327
52,2025-03-15,320.69,320.74,321.3,319.82,466802663.6,1455280.0,-0.032598790175382676,318.59857142857146,314.406,-4.3109065990798285,4.567599162062083,323.5411983241242,305.2708016758758,320.28351429851523,5.7675081655367455
53,2025-03-16,320.52,323.44,323.5,320.52,1832146317.899999,5680630.0,0.10333661325169971,319.53000000000003,314.82550000000003,-4.137845414379626,4.9951297069726825,324.8157594139454,304.8352405860547,322.3878380995051,5.7759170724154005
54,2025-03-17,323.44,326.02,326.97,322.62,19106596632.19997,58701560.0,0.1152774948078655,320.7371428571428,315.3895,-4.177002460267431,5.586745097951154,326.56299019590233,304.21600980409767,324.8092793665017,5.783886718897863
55,2025-03-18,326.2,324.06,329.77,323.82,23858590971.49999,72947120.0,-0.005870998339255772,321.3614285714285,315.791,-4.702318596596683,5.914148868781799,327.6192977375636,303.9627022624364,324.3097597888339,5.777838064485612
56,2025-03-19,324.5,325.3,326.88,322.3,12924249479.50001,39800890.0,-0.02224078279028306,322.34857142857146,316.20750000000004,-4.730042597407021,6.283342954528148,328.7741859090563,303.64081409094376,324.9699199296113,5.781669013313272
57,2025-03-20,325.41,324.05,326.0,321.8,13733625340.500011,42356790.0,-0.0488829095220469,323.44571428571425,316.899,-4.922316332460184,6.350378273027106,329.5997565460542,304.1982434539458,324.3566399765371,5.777807110004175
58,2025-03-21,323.8,323.26,326.08,322.15,9307475192.499992,28707780.0,0.003222394232605468,323.8385714285714,317.707,-4.84374403781203,6.059370385914128,329.82574077182824,305.58825922817175,323.6255466588457,5.775358673145423
59,2025-03-24,323.26,319.47,323.94,318.51,10625951470.3,33041960.0,-0.044743127717685016,323.65714285714284,318.19899999999996,-4.933544261137513,5.761178516132446,329.72135703226485,306.67664296773506,320.85518221961524,5.763528279053155
60,2025-03-25,320.0,319.8,322.2,314.65,15393054646.499971,48328480.0,-0.02895867022601421,323.13714285714286,318.6835,-4.464636981323622,5.4438224525370345,329.57114490507405,307.7958550949259,320.15172740653844,5.76456394691606
61,2025-03-26,319.9,315.23,320.88,315.01,6538901138.499995,20580040.0,-0.1255413717278131,321.5957142857143,319.073,-4.374661889338256,4.842492942147311,328.7579858842946,309.38801411570535,316.8705758021795,5.750125201849154
